id,url,title,content,keyword,crawled_at,Eng_title,Eng_Contents,type,scam_topic,scam_method,matched_type_keyword,matched_topic_keyword,matched_method_keyword
6938278,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6938278&id=talk1&ref=3698362&step=1&level=0,[생활 Q & A]전화스캠조회수 : 101 | 등록일 : 2025-7-3,"전화스캠을 당했어요.
제 이름, 쏘셜, 생일을 알고 있는 사기꾼이 전화가 왔고, 제 전화의 문자로 보내준 링크로 클릭해서 들어갔어요
제 휴대폰으로 사기꾼 링크로 들어갔어서 혹시 제 전화가 해킹된거면 어떻게 해야하죠
제가 미쳤나봐요 ~
도움 말씀 부탁 드립니다",스캠,2025-07-07 13:30:08,[Life Q&A] Telephone Camjo Number: 101 |Registration Date: 2025-7-3,"I got a telephone scam.
A scammer who knew my name, social, and birthday came a call and clicked it with a link sent by the text of my phone.
What should I do if my phone was hacked because I went to my mobile phone.
I must be crazy ~
Please say help",question_is_scam_confirmed_action,other,link_landing+phone_call+sms_text,어떻게 해야,API,링크+문자+전화
6938119,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6938119&id=talk1&ref=3698218&step=1&level=0,[생활 Q & A]뉴욕 영사관에서 연락이 왔는데 이게스캠인가요?조회수 : 489 | 등록일 : 2025-7-3,"번호를 검색해보니 진짜 뉴욕 영사관 번호네요.
646) 674-6000
그러더니 한국 검찰에서 저에
대해서 공문이 왔다면서 연락했다는데 이런 전화를 받아본적이
있으세요? ",스캠,2025-07-07 13:30:10,[Life Q & A] I got a contact from the New York Consulate?Registration Date: 2025-7-3,"When I searched the number, it was a real New York consulate number.
646) 674-6000
Then in the Korean prosecution
I contacted you that the official came from, and I received this call.
Are you?",question_is_scam_unsure,impersonation_scam,phone_call,스캠인가요,검찰,전화
6935748,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6935748&id=talk1&ref=3696124&step=1&level=0,[생활 Q & A]제가스캠에 당한거 같은데조회수 : 745 | 등록일 : 2025-6-27,"쓴카드 전부 캔슬하고 다시 발급 받을경우
아마존 이런것 리턴 하고 돈 돌려받을거 있는데
이런건 어떻게 들어오나요?",스캠,2025-07-07 13:30:12,[Life Q&A] I think I was in Jagas Cam. 745 |Registration Date: 2025-6-27,"If all the cards are canceled and re -issued
Amazon is returning and returning money.
How does this come in?",discussion,other,,API,API,API
6935218,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6935218&id=talk9&ref=365003&step=1&level=0,[Life & Culture]대구서 20대女에게 로맨스스캠100억 뜯어낸 20대男…은닉자금 70억 어디에?조회수 : 6527 | 등록일 : 2025-6-25,"게티이미지뱅크
교제를 빙자해 심리적으로 지배하는 ‘로맨스스캠’으로 20대 연인에게 100억 원을 갈취한 20대 사기범에게 징역 30년이 구형됐다. 특히 이 사기범은 이중 70억 원가량을 ‘상품권깡’ 수법으로 현금화해 은닉했다. 재판에서 피해자 측 변호인은 “피해 변제 의사가 전혀 없다”면서 “은닉한 70억 원 이상의 범죄수익금으로 호의호식하겠다는 의도”라고 비판했다.
23일 법조계에 따르면 검찰은 지난 18일 대구지법 형사11부(부장판사 이영철) 심리로 열린 특정경제범죄 가중처벌 등에 관한 법률 위반(사기) 등 혐의 20대 A 씨에 대한 결심 공판에서 징역 30년을 구형했다.
검찰은 A 씨에 대해 “누범 기간 중 다시 범죄를 저질렀고, 실질적인 피해액이 약 104억 원으로 피해가 심각하고, 압수물을 제외하고는 피해 변제가 전혀 되지 않았다”라고 설명했다. 이어 “빼돌린 범죄 수익이 있는 것으로 보이는 점, 피해자들이 모두 일괄적으로 중형을 선고할 것을 간절히 바라고 있는 점” 등을 구형 이유로 꼽았다.
A 씨는 지난해 11월부터 올해 3월까지 20대 여성 C 씨에게 연인 관계를 가장한 심리적 지배로 100억 원을 받아낸 혐의로 재판에 넘겨졌다. 이 가운데 약 70억 원은 ‘상품권깡’ 수법으로 현금화해 자금 추적을 어렵게 만드는 등 범죄 수익을 은닉했다.
함께 재판받은 공범 B 씨는 상품권을 현금화하는데 가담하고 수수료를 챙겨 범죄수익은닉규제법 위반 혐의를 받는다. 검찰은 “체포되지 전에는 범죄 수익이라는 점에 대한 인식이 있었다고 보기 어려웠다”며 B 씨에게는 징역 1년을 구형했다.
재판에서 A 씨의 변호인은 “압수수색과 수사 과정에 협조했고 체포된 후 계좌에 남아 있던 1억여 원을 피해자 명의 계좌로 즉시 이체했다”며 “뒤늦게나마 자신의 범행에 대해 후회하고 반성하고 있다, 법이 허용하는 최대한의 관용을 베풀어 달라”고 호소했다.
반면 피해자 측 변호인은 “매우 중대하고 치밀하며 계획적인 반인륜 범죄다, 피해자들은 피고인들에게 법정 최고형이 선고되길 호소하고 있다”고 말했다.
A 씨와 B 씨에 대한 선고 공판은 다음달 16일에 진행될 예정이다.",스캠,2025-07-07 13:30:13,[LIFE & CULTURE] A 20 -year -old man who took 10 billion romance cam to Daegu's 20s.Where is hidden funds 7 billion? Hits: 6527 |Registration Date: 2025-6-25,"Getty Image Bank
It was sentenced to 30 years in prison for a 20 -year -old fraudster, who had extorted 10 billion won to his 20s with a romance cam that was psychologically dominated by fellowship.In particular, the fraudster cashed about 7 billion won into a 'gift kicker' method.In the trial, the victim's lawyer criticized, ""I have no intention of repaying the damage.""
According to the legal profession on the 23rd, the prosecution was sentenced to 30 years in prison in a 20 -year -old trial against Mr. A on charges of violating the law on weighted punishment for specific economic crimes, which was held by the 11th Criminal Justice of the Daegu District Court (Deputy Judge Lee Young -cheol).
The prosecution explained that Mr. A committed a crime again during the permeability period, and the actual damage was seriously damaged by about 10.4 billion won, and the damage was not repaid except for the seizure.He then cited, ""It appears to have a criminal income, and all of the victims are eager to be sentenced to medium.""
Mr. A was handed over to the trial for accepting 10 billion won for his psychological ruling that disguised a relationship with a woman in her 20s from November last year to March this year.Among them, about 7 billion won concealed criminal revenue, such as cashing with 'gift certificate' and making it difficult to track funds.
The accomplice B, who was tried together, is accused of violating the crime hidden regulation law by joining the gift certificate and paying a fee.The prosecution said, “It was hard to see that there was a perception of criminal income before being arrested,” he sentenced him to one year in prison.
At the trial, Mr. A's lawyer said, ""We cooperated with the seizure search and investigation process, and immediately transferred 100 million won in the account after being arrested.""
On the other hand, the victim's lawyer said, ""It is a very serious, dense, and planned anti -human crime, and the victims are appealing to the defendants to be sentenced to court.""
The trial of A and B will be held on the 16th of next month.",discussion,investment_scam,,API,수익,API
6934735,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6934735&id=talk1&ref=3695305&step=1&level=0,[생활 Q & A]Ups 문자스캠인가요?!( 사진유)조회수 : 233 | 등록일 : 2025-6-23,"패키지 올게 있기는 있어요
근데 ups 에서 이런문자 온적은 처음이예요
타겟에서 산 가구 하나 올게 있는데…..100불짜리요
이거 스캠인가요?!",스캠,2025-07-07 13:30:14,[Life Q & A] Is it UPS Text Cam ?! (Photo You) Views: 233 |Registration Date: 2025-6-23,"There is something there is a package
But this is the first time I've been in this text in UPS.
There's a furniture that I bought from the target…... 100 dollars
Is this scam ?!",question_is_scam_unsure,other,sms_text,스캠인가요,API,문자
6934617,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6934617&id=talk1&ref=3695187&step=1&level=0,[생활 Q & A]이거스캠일까요? DMV 에 벌금?조회수 : 538 | 등록일 : 2025-6-23,"DMV 에서 내일까지 벌금 내라고 나왔는데요 저는 어떤 메일도 받지 못했는데
Text 로 아침에 받았어요. 이 링크가 과연 맞을까요?
마약 제사 violation 이 있었다면 카운티 마다 첵업해야하나요?
일단 감사드립니다",스캠,2025-07-07 13:30:15,[Life Q & A] Is this cam?Finely for DMV? Views: 538 |Registration Date: 2025-6-23,"I came out to be fined until tomorrow in the DMV, but I didn't get any e -mail.
I got it in the morning with text.Is this link right?
If there was a drug ritual Violation, should I check up by County?
Thank you first",question_is_scam_unsure,other,email+link_landing,스캠일까요,API,링크+메일
6932770,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6932770&id=talk1&ref=3693582&step=1&level=0,[생활 Q & A]아들이스캠당한 것 같은데요조회수 : 826 | 등록일 : 2025-6-19,"인턴십 하고 있는 아들이 스캠 당한 것 같아요
프레지던트가 전화 텍스트로 직원들 수고하고 있어서 기카 사주면 좋겠다고 기카 옵션이 어떤 것들 있는지 사진 찍어서 보내라고 했대요.
저랑 통화하면서 근처 스토어 가서 사진 찍어서 보내려고 한다 하더니 시간 좀 지나서 자기 스캠 당한 것 같다 하더라구요.
기카 종류 사진만 찍어서 보내는 줄 알았더니만 그 사이에 텍스트 왔다갔다 하다가 구입을 했나봐요.
250불짜리 기카 4개를 샀대요.
영수증 사진 찍어서 보냈구요.
기카 뒷면 스크래치 해서 보내지는 않았대요.
뭔가 이상해서 기카 구입한 스토어에 리턴 가능한지 물어보니까 안 된다고 해서 크레딧카드사에 전화해서 디스퓻 해달라고 하니까 아직 트랜잭션 프로세싱 중이라 안 된다고 했다네요.
어떻게 해야 되죠?
프로세싱 기다렸다가 카드사에 연락해서 디스퓻 해달라고 하면 되나요?
스캠이라도 저희 아이가 직접 구입한 거라 보상이 안 되나요?
혹시 디스퓻 안 되면 구입한 카드는 사용할 수 있을까요?
이런 일이 처음이라 아이가 놀라고 자기가 실수했다 실망한 것 같아요.",스캠,2025-07-07 13:30:16,[Life Q&A] It seems to be the son's camp: 826 |Registration Date: 2025-6-19,"I think the son who is internship is scam.
President told me to buy Kika's options because I want to buy Kika because I am working on the phone text.
While talking to me, I went to a nearby store and tried to take a picture and sent it.
I thought I was just taking a picture of the kika type, but I bought it while I went back and forth between them.
I bought four dollars of Kika.
I took a picture of the receipt.
I didn't scratch the back of the kika.
I didn't say that I couldn't return to the store that I could return to the store I bought because it was strange.
What should I do?
Can I wait for processing and contact the card company and ask me to disin?
Isn't it a compensation for a scam that my child bought it myself?
Can I use the purchased card if it doesn't have to be discharged?
This is the first time that the child was surprised and he was disappointed.",question_is_scam_confirmed_action,other,phone_call,어떻게 해야,API,전화+통화
6930266,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6930266&id=talk1&ref=3691469&step=1&level=0,[생활 Q & A]이거스캠일까요?조회수 : 294 | 등록일 : 2025-6-13,"소셜연금 인터뷰가 곧 있을 예정인데요
오늘 800 997 9540 에서 전화가 왔는데
못받아서 번호검색을 했더니 소셜 오피스 전화번호더라구요
이렇게 예정한 날짜와 시간 아닌 날에 전화하기도 하나요",스캠,2025-07-07 13:30:17,[Life Q & A] Is this this scam? Views: 294 |Registration Date: 2025-6-13,"There will be a social pension interview soon.
Today I got a call from 800 997 9540
I couldn't get it, so I searched the number and it was a social office phone number.
Do you call it on the date and time that you are scheduled for this?",question_is_scam_unsure,other,phone_call,스캠일까요,API,전화
6929857,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6929857&id=talk1&ref=3691092&step=1&level=0,"[생활 Q & A]페이스북 통해서 중고 거래를 벤모 통해서 했는데, 벤모를 이용한 이상한 메세지를 받았어요.스캠인가요???조회수 : 290 | 등록일 : 2025-6-11","페이스북 통해서 아들이 팔고 싶어 했던 포켓몬 카드를 팔아줬어요. $20불을 벤모로 받았고요. 그런데 6시간쯤 뒤에 알 수 없는 사람이 이 거래에 대해 ""Hey stranger, how's life in the Pokemon game?""라는 메시지를 남겼다면, 밴모가 보내는 똑같은 notification 이메일 디자인으로 이메일이 왔어요. 여러번 페이스북으로 중고 거래 하면서 벤모로 돈 주고 받았는데 이런 이메일 처음 받아봐요. 받은 이메일에 view comment thread라는 탭이 있는데 아직 열지는 않았는데, 스캠인가요? 어떻게 해야 할까요? 제 벤모 계정이 헤킹 당한건가요???ㅠㅜ",스캠,2025-07-07 13:30:18,"[Life Q & A] I made a used trading through Facebook, but I received a strange message using Benmo. Is it a scam ??? Views: 290 |Registration Date: 2025-6-11","I sold Pokemon cards that my son wanted to sell on Facebook.I got $ 20 for Benmo.However, if an unknown person about six hours later left the message ""Hey Stranger, How's Life in the Pokemon Game?""I have given money to Benmo while trading on Facebook several times.There is a tab called the View Comment Thread in the email I received.What should I do?Is my Benmo account heked ??? ㅠ TT",question_is_scam_unsure,job_offer_scam,email+sms_text+sns_platform,스캠인가요,페이,메시지+메일+이메일+페이스북
6928777,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6928777&id=talk1&ref=3690214&step=1&level=0,"[생활 Q & A]전화스캠,이름 전번 주소 다 줬는데 문제 생길까요?조회수 : 242 | 등록일 : 2025-6-9","병원 빌 안낸게 있어 병원 이름으로 전화 왔길래
이름 전번 주소 줬는데 문제 생길까요?",스캠,2025-07-07 13:30:19,"[Life Q&A] Phone Scam, I gave you all the addresses, but is it a problem? Views: 242 |Registration Date: 2025-6-9","I didn't have a hospital, so I called it in the name of the hospital.
The name I gave you the first address, but is it a problem?",discussion,other,phone_call,API,API,전화
6926605,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6926605&id=talk1&ref=3688348&step=1&level=0,[생활 Q & A]사진)fidelity 에서 게속오는 문저스캠인가요조회수 : 295 | 등록일 : 2025-6-2,"불안해서 링크는 아직 클릭 안했어요 ㅠ
이거 스캠인가요??",스캠,2025-07-07 13:30:23,[Life Q&A] PhotoRegistration Date: 2025-6-2,"I didn't click the link yet because I was anxious.
Is this scam ??",question_is_scam_unsure,other,link_landing,스캠인가요,API,링크
6926585,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6926585&id=talk1&ref=3688328&step=1&level=0,[생활 Q & A]이거스캠?조회수 : 258 | 등록일 : 2025-6-2,"Maryland State Department of Motor Vehicles (DMV) Final Notice: Enforcement Penalties Begin onJune 5.
Our records show that as of today, you still have an outstanding traffic ticket. In accordance with New Maryland State Administrative Code 15C-16.003, if you do not complete payment by June 4, 2025, we will take the following actions:
1. Report to the DMV violation database
2. Suspend your vehicle registration starting June 5
3. Suspend driving privileges for 30 days
4. Transfer to a toll booth and charge a 35% service fee
5. You may be prosecuted and your credit score will be affected
Pay Now:
https://maryland.mvatcp.vip/pay
Please pay immediately before enforcement to avoid license suspension and further legal disputes.
(Reply Y and re-open this message to click the link, or copy it to your browser.)
메릴랜드 거주자예요.
이렇게 핸드폰으로 왔는데 스캠일까봐 안열어봤어요.
내 핸폰번호로 왔고 저 사는곳이 메릴랜드라 걱정이되서요.
이거 문자링크 열어봐야하나요? 관련된 우편물은 받은적 없어요.",스캠,2025-07-07 13:30:25,[Life Q&A] This is the Cam? Views: 258 |Registration Date: 2025-6-2,"Maryland State Department of Motor Vehicles (DMV) Final Notice: Enforcement Penalties Begin onjune 5.
Our records show that as of today, you still has an outstanding Traffic Ticket.In Accordance with New Maryland State Administrative Code 15C-16.003, if you do not complex payment by June 4, 2025, We will take the followings:
1. Report to the dmv Violation Database
2. SUSPEND YOUR Vehicle Registration Starting June 5
3. SUSPEND Driving Privileges for 30 days
4. Transfer to a to to toll booth and charge a 35% service fee
5. You May Be ProseCuted and Your Credit Score will be
Pay Now:
https://maryland.mvatcp.vip/pay
Please Pay Immediately Before Enforcement to Avoid License Suspension and Further Legal Disputes.
(Reply Y and Re-Open this Message to Click the Link, or Copy it to your browser.)
Maryland resident.
I came to my cell phone like this and I didn't open it because it was a scam.
I came to my cell phone number and I was worried about Maryland.
Should I open this text link?I have never received the related mail.",discussion,delivery_scam,link_landing+sms_text,API,우편,http+링크+문자
6925474,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6925474&id=talk1&ref=3687346&step=1&level=0,[생활 Q & A]가구를 파는 중에 받은 메세지가스캠일까요?조회수 : 204 | 등록일 : 2025-5-30,"가구 올리고 바로 받은 메세지인데, 스캠일까봐 안 된다고 했는데, 제가 무례했나 싶어서요.
픽업할 때 캐시 달라니까 그 후로 답이 없긴해요.
270불짜리 가구예요.
친척한테 벤모로 보내고 현금 뽑아와도 될 거 같은데,비싼 것도 아니라 스캠일까 봐 겁나서요.",스캠,2025-07-07 13:30:27,[Life Q & A] Is it a message gas cam during the sale of furniture? Hits: 204 |Registration Date: 2025-5-30,"It's a message that I received right away from the furniture, but I didn't think it was a scam, but I thought it was rude.
When I pick up, I don't have the answer since I was cash.
It's a $ 270 furniture.
I think I can send it to my relatives and get cash, but I'm scared that it's not expensive.",question_is_scam_unsure,other,,스캠일까요,API,API
6924578,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6924578&id=talk1&ref=3686570&step=1&level=0,[생활 Q & A]이런문자스캠인가요?조회수 : 206 | 등록일 : 2025-5-27,"이런문자가 계속와요
스캠인가요?",스캠,2025-07-07 13:30:28,[Life Q & A] Is this text cam? Views: 206 |Registration Date: 2025-5-27,"This character keeps coming
Is it a scam?",question_is_scam_unsure,other,sms_text,스캠인가요,API,문자
6923252,https://www.missyusa.com/mainpage/boards/board_read.asp?section=talk&idx=6923252&id=talk1&ref=3685393&step=1&level=0,[생활 Q & A]Official Jury Summons 이 영주권자도 해야하나요?스캠인가요? (켈리)조회수 : 209 | 등록일 : 2025-5-23,이 쪽지가 날아왔는데요 져흰 둘다 영주권자이고 아이들만 시민권자에요. 근데 제 남편 이름으로 나왓어요. 그리고 남편은 게다가 사망했고요 . 이런경우 법원에 알려야하나요? 이거 스캠같은데 불안하네요 ㅜㅜ,스캠,2025-07-07 13:30:29,[Life Q & A] Do you have to do this permanent resident?(Kelly) Views: 209 |Registration Date: 2025-5-23,"This note has flew, both of which are permanent residents and only children.But it's my husband's name.And my husband died.Do you have to inform the court in this case?This is like a scam, but I'm anxious.",question_is_scam_unsure,other,,스캠인가요,API,API
